baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala-AGC-11_1	174.576957231485	0.0428795630797281	0.200379092886878	0.213992200792801	0.830553139179976	0.999927960392073
Ala-AGC-11_2	153.372888657338	0.160056604113009	0.227530230159429	0.703452038003294	0.481774086430292	0.999927960392073
Ala-AGC-11_3	148.348008669129	0.0120067785583226	0.268246232730239	0.044760287725633	0.964298379151682	0.999927960392073
Ala-AGC-11_4	163.519432978423	0.131457654320005	0.213507474017973	0.615705164068117	0.53808912841793	0.999927960392073
Ala-AGC-11_5	163.064392555819	0.128404366994848	0.220274491776579	0.582928899116866	0.559941165227675	0.999927960392073
Ala-AGC-11_6	163.8905364097	-0.0739188002857386	0.21504486079075	-0.343736651105862	0.731044345232915	0.999927960392073
Ala-AGC-11_7	179.891868697315	-0.129160537667002	0.189118098079002	-0.682962334007011	0.494630643705577	0.999927960392073
Ala-AGC-11_8	285.718484472261	0.0346597017403285	0.142278003936075	0.243605482094765	0.807536382094022	0.999927960392073
Ala-AGC-11_9	248.98124181273	-0.112294003586407	0.154725118652842	-0.72576453367189	0.467983132553286	0.999927960392073
Ala-AGC-11_10	262.653992317458	-0.254017443059826	0.147532934738304	-1.7217677090909	0.0851116062623534	0.999927960392073
Ala-AGC-11_11	250.88770301741	0.0556016888965975	0.153827557146006	0.361454669944625	0.717759585697425	0.999927960392073
Ala-AGC-11_12	232.794395736834	-0.0262562956228871	0.152667387396433	-0.171983657221481	0.863450377204103	0.999927960392073
Ala-AGC-11_13	212.809432913091	-0.0205648396167317	0.171722476026813	-0.119756249109293	0.904676240589728	0.999927960392073
Ala-AGC-11_14	215.598601539111	-0.132219523370322	0.166382866508223	-0.794670305573725	0.426805309875093	0.999927960392073
Ala-AGC-11_15	249.353920052669	-0.00564081084765727	0.151060972517614	-0.037341285135706	0.970212887654292	0.999927960392073
Ala-AGC-11_16	317.489920907466	-0.0914851319365802	0.161477307985734	-0.566551010032087	0.571019267080307	0.999927960392073
Ala-AGC-11_17	312.622386913356	0.0126668778668793	0.141639218282575	0.0894305830014426	0.928739719120237	0.999927960392073
Ala-AGC-11_18	268.696925602989	0.0343022123564144	0.154819927211612	0.221561997697681	0.824654868642601	0.999927960392073
Ala-AGC-11_19	249.257293110754	-0.129160334630749	0.15250189781396	-0.846942474042613	0.397027186438878	0.999927960392073
Ala-AGC-11_20	257.445110570307	0.0206732270931216	0.155482846215558	0.132961465501222	0.894223855924877	0.999927960392073
