Gene_ID	Harringtonine_Control_rep1	Harringtonine_Control_rep2	Harringtonine_Control_rep3	Harringtonine_Treated_rep1	Harringtonine_Treated_rep2	Harringtonine_Treated_rep3
ENSG00000000003.15	139	147	136	96	108	117
ENSG00000000005.6	0	0	0	0	0	0
ENSG00000000419.14	3512	3530	3574	2692	2871	3505
ENSG00000000457.14	494	540	531	810	528	797
ENSG00000000460.17	380	463	446	415	381	539
ENSG00000000938.13	0	0	0	0	0	0
ENSG00000000971.17	0	0	0	0	0	0
ENSG00000001036.14	2271	2383	2512	1531	1444	1853
ENSG00000001084.13	1046	1163	1150	880	812	1005
ENSG00000001167.15	301	362	317	313	273	351
ENSG00000001460.18	1	1	1	0	0	0
ENSG00000001461.17	23	20	32	18	23	21
ENSG00000001497.18	5039	5659	5019	3238	3198	4349
ENSG00000001561.7	57	103	60	76	77	83
ENSG00000001617.12	391	393	428	463	327	511
ENSG00000001626.18	1	0	0	0	0	0
ENSG00000001629.10	2473	3019	2757	3179	2492	3280
ENSG00000001630.18	154	122	163	47	75	123
ENSG00000001631.17	147	109	130	247	192	249
ENSG00000002016.18	257	247	238	400	257	388
ENSG00000002330.14	487	593	540	286	285	370
ENSG00000002549.13	662	774	769	552	554	769
ENSG00000002586.20	0	0	0	0	0	0
ENSG00000002586.20_PAR_Y	0	0	0	0	0	0
ENSG00000002587.10	0	0	0	0	0	0
ENSG00000002726.21	1	2	2	2	1	0
ENSG00000002745.13	0	0	0	0	0	0
ENSG00000002746.15	0	0	0	0	1	0
ENSG00000002822.16	1924	2004	2106	1822	1497	2025
ENSG00000002834.18	2292	2414	2458	1441	1371	1762
ENSG00000002919.15	437	447	407	307	307	383
ENSG00000002933.9	0	0	0	0	0	0
ENSG00000003056.8	2303	2489	2401	1647	1400	1749
ENSG00000003096.15	128	124	114	99	102	139
ENSG00000003137.9	23	36	21	31	22	22
ENSG00000003147.19	1126	1415	1381	1160	911	1296
ENSG00000003249.15	283	334	315	271	193	243
ENSG00000003393.16	597	769	697	698	659	797
ENSG00000003400.16	0	4	3	0	0	2
ENSG00000003402.21	429	460	516	457	410	489
ENSG00000003436.16	135	136	136	138	173	177
ENSG00000003509.16	331	275	349	343	299	329
ENSG00000003756.17	2745	3010	2995	3374	2619	3374
ENSG00000003987.14	80	110	115	76	65	97
ENSG00000003989.18	2646	2700	2856	2436	2190	2602
ENSG00000004059.11	2655	2790	2907	1294	1415	1619
ENSG00000004139.14	59	80	72	87	58	87
ENSG00000004142.12	1294	1331	1426	612	813	992
ENSG00000004399.13	1493	2397	1965	1910	1257	1640
ENSG00000004455.18	43	52	60	16	22	38
ENSG00000004468.13	0	0	0	0	0	0
ENSG00000004478.8	12994	13302	13407	8813	9133	11689
ENSG00000004487.18	1412	1568	1518	1426	1336	1814
ENSG00000004534.15	2098	2481	2264	3674	2602	3591
ENSG00000004660.15	159	151	168	184	145	174
ENSG00000004700.16	1051	1114	1017	727	693	852
ENSG00000004766.17	850	1006	993	1022	931	1284
ENSG00000004776.13	0	1	1	1	0	0
ENSG00000004777.19	74	89	89	103	65	95
ENSG00000004779.10	641	642	696	478	585	752
ENSG00000004799.8	0	0	2	0	0	0
ENSG00000004809.14	0	0	0	0	0	0
ENSG00000004838.14	2	6	8	5	8	5
ENSG00000004846.17	0	0	0	0	0	0
ENSG00000004848.8	20	34	43	25	15	30
ENSG00000004864.14	1200	1358	1392	1100	1106	1537
ENSG00000004866.22	266	310	266	271	241	262
ENSG00000004897.12	456	610	563	593	496	694
ENSG00000004939.16	3	4	4	4	4	1
ENSG00000004948.16	13	22	19	16	4	15
ENSG00000004961.15	741	691	720	427	513	624
ENSG00000004975.12	558	661	697	523	488	617
ENSG00000005001.10	132	173	186	161	118	195
ENSG00000005007.14	1040	1298	1220	954	815	1141
ENSG00000005020.13	2023	1936	1914	1619	1675	2133
ENSG00000005022.6	6684	7049	7032	3900	4306	5299
ENSG00000005059.16	39	55	75	55	36	70
ENSG00000005073.6	9	5	4	4	11	8
ENSG00000005075.16	368	359	333	242	203	304
ENSG00000005100.13	660	845	791	756	653	804
ENSG00000005102.14	0	0	0	0	0	0
ENSG00000005108.17	0	0	0	0	0	0
ENSG00000005156.12	914	1037	993	934	729	986
ENSG00000005175.10	715	798	651	691	688	894
ENSG00000005187.12	12	20	26	14	21	22
ENSG00000005189.20	305	378	360	375	288	408
ENSG00000005194.15	81	103	119	91	91	108
ENSG00000005206.17	85	87	101	135	95	110
ENSG00000005238.20	15	14	7	14	8	24
ENSG00000005243.10	192	233	238	155	147	225
ENSG00000005249.13	315	246	236	221	239	362
ENSG00000005302.19	248	325	311	348	274	363
ENSG00000005339.15	3974	5377	4615	3819	2820	3756
ENSG00000005379.17	2	0	1	0	1	1
ENSG00000005381.9	0	0	0	0	1	0
ENSG00000005421.9	0	0	0	0	0	0
ENSG00000005436.14	213	206	188	242	194	251
ENSG00000005448.17	156	173	217	137	104	131
ENSG00000005469.12	1073	1109	1117	1359	1158	1527
ENSG00000005471.19	106	116	108	138	108	148
ENSG00000005483.23	5787	6886	6542	5254	4032	5592
ENSG00000005486.17	181	155	199	114	86	118
ENSG00000005513.10	1	0	0	0	0	2
ENSG00000005700.15	2361	2665	2499	2626	2279	3152
ENSG00000005801.18	338	313	330	402	369	398
ENSG00000005810.20	3004	3369	3269	3263	2711	3637
ENSG00000005812.11	258	274	297	180	181	198
ENSG00000005844.19	4	10	8	2	1	0
ENSG00000005882.12	72	96	96	52	50	73
ENSG00000005884.18	862	1001	1118	895	702	986
ENSG00000005889.16	627	673	710	693	502	736
ENSG00000005893.16	495	441	481	313	356	378
ENSG00000005961.19	56	50	60	66	55	59
ENSG00000005981.13	0	0	0	0	0	0
ENSG00000006007.12	581	609	569	416	430	560
ENSG00000006015.18	107	119	143	162	115	128
ENSG00000006016.12	19	21	38	19	17	20
ENSG00000006025.12	126	154	155	164	124	158
ENSG00000006042.12	0	0	0	0	0	0
ENSG00000006047.13	521	460	519	616	486	632
ENSG00000006059.4	0	0	0	0	0	0
ENSG00000006062.18	241	268	260	274	240	313
ENSG00000006071.16	47	46	47	77	43	92
ENSG00000006116.4	0	0	0	0	0	0
ENSG00000006118.15	1252	1613	1500	1281	1181	1583
ENSG00000006125.18	761	776	823	680	689	887
ENSG00000006128.12	0	0	0	0	0	0
ENSG00000006194.11	475	565	550	594	397	525
ENSG00000006210.7	0	0	0	0	0	0
ENSG00000006282.21	652	849	806	979	714	880
ENSG00000006283.18	4	7	8	6	4	3
ENSG00000006327.14	1469	1691	1732	1065	995	1416
ENSG00000006377.11	0	0	0	0	0	0
ENSG00000006432.16	1284	1915	1716	1724	1325	1708
ENSG00000006451.8	1133	1274	1215	775	865	954
ENSG00000006453.14	465	566	643	628	500	617
ENSG00000006459.11	65	80	68	85	70	85
ENSG00000006468.15	0	0	0	0	0	0
ENSG00000006530.18	519	478	514	531	531	629
ENSG00000006534.17	24	33	26	23	18	21
ENSG00000006555.11	4	4	17	9	4	7
ENSG00000006576.17	525	668	641	739	622	862
ENSG00000006606.9	0	0	0	0	0	0
ENSG00000006607.14	355	429	462	415	368	499
ENSG00000006611.17	0	1	3	0	0	1
ENSG00000006625.18	2556	2710	2634	830	1093	1265
ENSG00000006634.8	793	960	906	983	762	1019
ENSG00000006638.13	1	0	2	0	1	1
ENSG00000006652.15	2	5	0	2	0	1
ENSG00000006659.13	0	0	0	0	0	0
ENSG00000006695.12	223	294	224	131	137	163
ENSG00000006704.11	555	756	621	702	514	705
ENSG00000006712.15	3440	3991	3723	2436	2304	3129
ENSG00000006715.16	1356	1451	1331	1530	1196	1682
ENSG00000006740.18	146	155	159	190	142	178
ENSG00000006744.19	3194	3947	3543	2840	2450	3358
ENSG00000006747.15	4205	4285	4376	4245	3662	4546
ENSG00000006756.16	187	179	213	148	118	167
ENSG00000006757.12	12	13	9	12	12	18
ENSG00000006788.14	1	2	2	0	0	0
ENSG00000006831.10	2102	2400	2296	1735	1617	2154
ENSG00000006837.12	19	31	26	34	15	16
ENSG00000007001.13	0	0	0	0	0	0
ENSG00000007038.11	0	0	0	0	0	0
ENSG00000007047.16	311	383	376	302	208	279
ENSG00000007062.12	0	0	0	0	0	0
ENSG00000007080.11	1244	1274	1319	892	824	1056
ENSG00000007129.18	0	0	0	0	0	0
ENSG00000007168.14	859	943	889	706	600	750
ENSG00000007171.19	0	2	0	0	1	0
ENSG00000007174.18	2	1	1	0	1	0
ENSG00000007202.15	6463	9143	8422	7557	5671	7490
ENSG00000007216.16	0	0	0	0	0	0
ENSG00000007237.19	0	0	0	0	0	0
ENSG00000007255.10	69	103	103	47	43	93
ENSG00000007264.15	397	495	410	436	321	448
ENSG00000007306.15	0	1	0	0	0	0
