Gene_ID	MetStarve16h_Control_rep1	MetStarve16h_Control_rep2	MetStarve16h_Control_rep3	MetStarve16h_Starvation_rep1	MetStarve16h_Starvation_rep2	MetStarve16h_Starvation_rep3
ENSG00000167548.18	5512	2550	2246	1452	1296	6325
ENSG00000167549.19	1	5	7	2	2	3
ENSG00000167550.11	16	23	22	7	3	4
ENSG00000167552.15	1137	1795	1598	917	826	576
ENSG00000167553.17	6744	11061	9421	7920	7397	4859
ENSG00000167554.15	116	103	126	155	125	133
ENSG00000167555.14	12	14	10	43	38	44
ENSG00000167562.14	198	175	156	286	269	389
ENSG00000167565.13	1328	2218	2016	6586	6362	4078
ENSG00000167566.17	486	538	500	398	329	466
ENSG00000167578.18	15	3	8	15	16	27
ENSG00000167580.8	0	0	0	0	0	0
ENSG00000167588.13	3	6	7	14	13	7
ENSG00000167595.16	586	349	384	239	207	458
ENSG00000167600.14	10	7	6	12	4	9
ENSG00000167601.12	3	3	7	7	0	4
ENSG00000167604.15	186	181	141	96	94	97
ENSG00000167608.12	434	540	522	879	759	549
ENSG00000167612.13	0	0	0	1	0	0
ENSG00000167613.16	0	0	0	0	0	0
ENSG00000167614.14	8	6	10	12	13	6
ENSG00000167615.17	719	438	480	497	369	915
ENSG00000167617.3	19	35	34	25	31	29
ENSG00000167618.10	0	0	0	0	0	0
ENSG00000167619.13	0	0	0	2	2	3
ENSG00000167625.11	519	865	660	819	827	712
ENSG00000167632.18	697	525	499	317	260	537
ENSG00000167633.18	0	0	0	0	0	0
ENSG00000167634.12	0	0	0	0	0	0
ENSG00000167635.12	2990	2046	1929	4585	4354	10128
ENSG00000167637.18	364	275	248	190	200	366
ENSG00000167641.11	0	0	0	0	0	0
ENSG00000167642.13	10095	14334	13172	13864	14206	11036
ENSG00000167644.12	672	1542	1421	1716	1771	856
ENSG00000167645.17	629	912	789	920	974	734
ENSG00000167646.14	92	145	141	170	152	89
ENSG00000167653.5	88	107	85	161	173	163
ENSG00000167654.18	0	0	0	1	0	1
ENSG00000167656.5	6	13	10	27	28	17
ENSG00000167657.14	345	636	561	2447	2597	1446
ENSG00000167658.16	30148	64281	59486	57080	53865	25081
ENSG00000167664.9	0	0	0	0	0	0
ENSG00000167670.16	623	699	653	383	387	499
ENSG00000167671.12	710	1246	1298	1510	1383	685
ENSG00000167674.15	352	346	387	298	256	287
ENSG00000167676.5	45	38	40	5	8	6
ENSG00000167680.17	184	303	286	42	76	38
ENSG00000167685.15	1056	1301	1251	1276	1254	1008
ENSG00000167693.17	112	160	147	90	89	67
ENSG00000167695.15	438	616	563	394	405	325
ENSG00000167699.14	1090	1113	1060	940	846	1077
ENSG00000167700.9	624	899	746	1214	1336	762
ENSG00000167701.14	9	6	13	5	5	2
ENSG00000167702.13	1911	1801	1736	1920	1639	1582
ENSG00000167703.15	814	960	884	1121	1033	1171
ENSG00000167705.12	99	151	168	124	114	60
ENSG00000167711.14	3	6	2	0	2	4
ENSG00000167716.19	308	403	352	327	343	300
ENSG00000167720.13	376	385	396	291	260	316
ENSG00000167721.11	2212	1531	1385	1095	1035	2567
ENSG00000167723.15	36	33	30	26	23	36
ENSG00000167733.14	51	59	68	45	54	47
ENSG00000167740.10	395	540	436	692	692	567
ENSG00000167741.11	223	322	286	296	285	228
ENSG00000167747.17	2477	4089	3715	4537	4381	2764
ENSG00000167748.11	1	4	1	0	3	1
ENSG00000167749.12	0	0	0	0	0	0
ENSG00000167751.13	0	0	0	0	0	0
ENSG00000167754.13	2	0	0	4	1	0
ENSG00000167755.15	10	4	3	9	5	7
ENSG00000167757.14	1	1	1	5	0	1
ENSG00000167759.13	1	1	0	0	0	0
ENSG00000167766.21	1376	1250	1162	1613	1372	1663
ENSG00000167767.14	5121	4836	3962	5576	5509	8160
ENSG00000167768.4	0	0	0	0	0	1
ENSG00000167769.5	2	1	1	0	1	1
ENSG00000167770.13	2167	3762	3596	6186	5991	3769
ENSG00000167771.6	71	70	62	21	29	26
ENSG00000167772.12	88	103	97	37	37	64
ENSG00000167774.2	3	0	5	3	1	4
ENSG00000167775.11	997	1222	1196	1252	1150	880
ENSG00000167778.9	787	804	705	1511	1496	1734
ENSG00000167779.9	26	48	21	15	6	17
ENSG00000167780.12	0	2	2	0	2	2
ENSG00000167785.9	314	369	345	1133	1152	1335
ENSG00000167791.14	0	0	0	0	0	0
ENSG00000167792.13	1217	1612	1578	1529	1368	1244
ENSG00000167797.8	961	939	845	1049	992	1021
ENSG00000167798.20	0	0	0	0	0	0
ENSG00000167799.10	324	431	343	287	248	181
ENSG00000167800.10	1	0	0	0	0	0
ENSG00000167807.15	5	12	10	20	12	12
ENSG00000167815.12	7558	10303	9630	8371	7764	6147
ENSG00000167822.3	0	0	0	0	0	0
ENSG00000167825.3	0	0	0	0	0	0
ENSG00000167840.14	105	138	134	211	207	154
ENSG00000167842.16	1042	1096	1008	1937	1857	2135
ENSG00000167850.4	2	0	2	0	3	2
ENSG00000167851.15	1	0	0	0	1	0
ENSG00000167858.13	0	0	0	0	0	0
ENSG00000167861.16	3185	3549	3279	2671	2482	2502
ENSG00000167862.10	556	638	558	1283	1198	952
ENSG00000167863.12	1267	851	817	618	612	1136
ENSG00000167874.7	2	1	1	0	0	0
ENSG00000167880.8	918	1230	1096	1095	1041	849
ENSG00000167881.15	1734	1335	1297	1290	1125	2828
ENSG00000167889.13	39	46	33	36	26	28
ENSG00000167895.16	44	54	32	34	25	32
ENSG00000167900.12	2059	3014	2752	805	902	665
ENSG00000167904.16	499	629	602	708	706	681
ENSG00000167910.4	0	0	0	0	0	0
ENSG00000167912.8	0	0	0	0	0	0
ENSG00000167914.12	0	1	0	0	0	1
ENSG00000167916.5	2	3	0	11	17	9
ENSG00000167920.12	196	208	194	735	691	625
ENSG00000167925.16	8	7	12	27	17	12
ENSG00000167930.17	2237	2116	1994	1187	1134	1401
ENSG00000167941.3	0	0	1	1	0	0
ENSG00000167962.15	1580	2548	2236	6276	6053	3715
ENSG00000167964.13	321	466	515	321	312	180
ENSG00000167965.18	713	628	559	920	877	1205
ENSG00000167967.16	1190	1857	1868	3011	2693	1801
ENSG00000167968.13	51	90	83	110	83	65
ENSG00000167969.13	1219	1685	1518	2481	2635	1827
ENSG00000167971.16	331	384	362	96	122	109
ENSG00000167972.14	2521	3333	3093	1303	1210	1031
ENSG00000167977.9	762	858	792	741	699	845
ENSG00000167978.18	13554	4030	3683	2660	2156	17386
ENSG00000167981.7	303	214	212	471	380	668
ENSG00000167984.18	5	1	1	1	2	1
ENSG00000167985.7	383	346	359	353	330	521
ENSG00000167986.15	8764	12366	10878	9305	8534	7439
ENSG00000167987.11	1092	1238	1232	2272	2030	1820
ENSG00000167992.14	16	11	12	6	11	10
ENSG00000167994.13	81	122	108	106	126	81
ENSG00000167995.17	1328	485	461	468	625	1465
ENSG00000167996.16	25690	14324	13664	16643	15499	38331
ENSG00000168000.16	172	312	284	238	239	192
ENSG00000168002.12	1287	1110	1034	1217	1186	1708
ENSG00000168003.19	8072	11669	10478	50093	47309	33622
ENSG00000168004.10	0	0	0	0	0	0
ENSG00000168005.9	454	993	887	474	491	195
ENSG00000168010.11	632	470	552	312	275	385
ENSG00000168014.18	1170	618	618	528	515	1568
ENSG00000168016.15	112	62	60	42	27	84
ENSG00000168026.19	47	29	41	29	37	48
ENSG00000168028.15	34940	51174	48158	56535	52902	42919
ENSG00000168032.10	59	90	67	81	59	53
ENSG00000168036.18	7171	6910	6421	4708	4399	7130
ENSG00000168038.11	94	100	99	162	132	145
ENSG00000168040.5	1013	1558	1474	2187	2148	1462
ENSG00000168056.18	1400	1464	1305	1966	1812	1636
ENSG00000168060.16	0	0	0	0	0	0
ENSG00000168061.17	606	917	889	1292	1222	834
ENSG00000168062.10	6	4	6	8	3	12
ENSG00000168065.16	0	2	0	0	0	1
ENSG00000168066.21	3276	2015	1809	2257	2063	5506
ENSG00000168067.12	569	627	659	462	451	386
ENSG00000168070.12	0	0	0	0	0	0
ENSG00000168071.22	24	48	39	38	37	32
ENSG00000168077.14	324	407	330	373	305	364
ENSG00000168078.10	1329	1488	1287	797	715	933
ENSG00000168079.17	12	12	11	13	2	5
ENSG00000168081.9	0	2	0	0	0	0
ENSG00000168090.10	1622	665	652	238	259	1028
ENSG00000168092.14	3559	3905	3690	5518	5020	5577
ENSG00000168096.15	573	888	780	945	783	568
ENSG00000168101.15	1045	1453	1296	3100	3001	2463
ENSG00000168116.14	431	434	438	245	211	252
ENSG00000168118.12	1149	1625	1439	1911	1808	1389
ENSG00000168122.4	0	0	0	0	0	1
ENSG00000168124.2	1	2	0	2	0	1
ENSG00000168126.3	1	1	0	5	7	11
ENSG00000168129.8	0	0	0	0	0	0
ENSG00000168131.4	0	0	0	0	0	1
ENSG00000168135.4	9	8	13	0	0	0
ENSG00000168137.20	8276	4549	4398	4570	3959	14171
ENSG00000168140.5	47	56	61	280	282	217
ENSG00000168143.9	3854	3851	3766	2271	2116	2830
ENSG00000168148.4	2	3	0	34	47	43
ENSG00000168152.13	275	240	244	379	382	493
ENSG00000168158.4	0	0	1	2	0	3
ENSG00000168159.15	2947	5054	4534	5696	5721	3443
ENSG00000168172.9	1178	970	868	546	477	920
ENSG00000168175.15	5414	4668	4559	5278	4962	8193
ENSG00000168209.6	2596	3670	3661	7133	7003	4963
ENSG00000168214.22	2889	2319	2288	1960	1694	3304
ENSG00000168216.13	664	705	697	656	663	741
ENSG00000168228.16	219	269	242	405	359	408
ENSG00000168229.4	0	0	0	1	0	0
ENSG00000168234.13	819	841	698	730	620	656
ENSG00000168237.18	72	48	43	139	147	92
ENSG00000168243.11	41	44	42	14	16	12
ENSG00000168246.6	1624	1326	1208	1689	1605	2537
ENSG00000168255.20	77	121	97	136	143	101
ENSG00000168256.18	421	477	468	610	569	752
ENSG00000168259.17	648	339	382	226	185	705
ENSG00000168263.9	1	0	0	0	0	1
ENSG00000168264.11	2359	2530	2257	7618	7376	7372
ENSG00000168267.7	0	0	0	0	0	0
ENSG00000168268.11	1462	963	934	429	431	870
ENSG00000168269.10	1	4	3	5	3	7
ENSG00000168273.8	175	206	238	126	132	117
ENSG00000168275.16	382	480	447	626	593	589
ENSG00000168280.18	200	159	156	67	83	156
ENSG00000168282.6	2097	2845	2639	5498	5114	4587
ENSG00000168283.14	3164	3291	3124	5614	5287	5941
ENSG00000168286.3	1530	2278	2058	4351	4513	3357
ENSG00000168288.13	4611	5766	5470	5738	5085	4842
ENSG00000168291.13	718	833	833	745	749	711
ENSG00000168297.16	187	129	121	179	152	198
ENSG00000168298.7	6721	10772	10467	8881	8602	6276
ENSG00000168300.14	1157	1212	1182	1471	1429	1462
ENSG00000168301.13	151	151	127	139	112	194
ENSG00000168303.9	468	473	498	401	423	450
ENSG00000168306.13	14	12	6	1	0	1
ENSG00000168309.18	0	0	0	0	0	0
ENSG00000168310.12	325	422	433	260	275	241
ENSG00000168314.19	0	0	2	0	0	0
ENSG00000168329.14	2	2	4	13	16	9
ENSG00000168333.14	0	0	0	0	0	0
ENSG00000168334.9	0	0	0	0	0	0
ENSG00000168348.4	2	0	0	0	1	3
ENSG00000168350.8	373	357	349	239	216	202
ENSG00000168356.13	0	1	4	1	3	8
ENSG00000168367.11	0	0	0	0	0	0
ENSG00000168374.11	2994	3590	3289	2678	2610	2969
ENSG00000168379.9	0	0	0	0	0	0
ENSG00000168384.11	0	0	0	0	0	0
ENSG00000168385.18	4157	2942	2729	1253	1198	2800
ENSG00000168386.19	104	102	67	78	58	111
ENSG00000168389.18	31	50	41	27	25	15
ENSG00000168393.13	464	792	673	887	810	568
ENSG00000168394.13	472	866	672	1537	1496	1014
ENSG00000168395.16	592	674	621	568	527	491
ENSG00000168397.17	555	560	534	781	745	643
ENSG00000168398.7	234	152	147	96	85	176
ENSG00000168404.13	249	193	166	99	74	189
ENSG00000168405.18	75	55	47	109	82	113
ENSG00000168411.14	3975	4194	3842	3285	3142	3910
ENSG00000168412.7	0	0	1	1	0	0
ENSG00000168418.8	0	0	0	0	0	0
ENSG00000168421.14	21	16	10	32	37	40
ENSG00000168427.9	0	3	0	0	0	2
ENSG00000168434.13	730	683	692	805	701	914
ENSG00000168438.15	1043	1322	1251	1301	1219	1236
ENSG00000168439.17	2497	1886	1737	1109	1133	2051
ENSG00000168447.11	140	99	101	42	48	57
ENSG00000168452.21	0	0	0	0	0	0
ENSG00000168453.16	554	728	624	467	462	439
ENSG00000168454.13	2	0	1	0	0	0
ENSG00000168461.13	1194	893	901	296	289	573
ENSG00000168468.12	0	0	0	0	0	0
ENSG00000168476.12	383	288	260	171	183	394
ENSG00000168477.19	22	13	18	65	65	71
ENSG00000168481.9	0	4	7	1	0	0
ENSG00000168484.13	0	0	0	0	0	0
ENSG00000168487.20	160	201	193	179	160	103
ENSG00000168488.19	2811	1407	1281	690	617	2649
ENSG00000168490.14	0	0	0	0	0	1
ENSG00000168491.10	38	30	40	25	27	14
ENSG00000168495.13	458	309	266	451	368	959
ENSG00000168496.4	1838	1944	1824	2064	2065	2957
ENSG00000168497.5	0	0	0	0	0	0
ENSG00000168502.18	304	393	361	314	307	353
ENSG00000168505.7	28	31	29	39	27	40
ENSG00000168509.20	0	0	0	0	0	1
ENSG00000168515.3	0	0	0	0	0	0
ENSG00000168517.11	107	119	137	341	346	353
ENSG00000168522.13	613	543	532	568	559	677
ENSG00000168528.12	324	436	434	274	246	156
ENSG00000168530.16	0	0	0	0	0	0
ENSG00000168538.16	985	1173	1060	1041	854	1004
ENSG00000168539.4	50	27	39	123	113	87
ENSG00000168542.16	44	49	62	100	127	87
ENSG00000168546.11	32	52	42	38	40	38
ENSG00000168556.7	248	160	160	352	367	673
ENSG00000168564.6	232	276	257	899	965	991
ENSG00000168566.13	1178	1253	1235	789	655	841
ENSG00000168569.8	680	964	857	950	992	721
ENSG00000168575.10	696	591	561	544	527	940
ENSG00000168582.5	0	0	0	0	0	0
ENSG00000168589.15	5	13	16	20	26	16
ENSG00000168591.16	592	806	760	1263	1126	900
ENSG00000168594.15	19	12	10	9	10	13
ENSG00000168610.16	1385	1549	1307	1618	1419	1781
ENSG00000168612.5	600	509	519	826	863	1143
ENSG00000168615.13	1213	995	907	648	577	1238
ENSG00000168619.16	1	1	2	4	0	4
ENSG00000168621.15	4	2	1	0	1	1
ENSG00000168630.3	0	0	0	0	0	0
ENSG00000168631.13	0	1	0	0	0	0
ENSG00000168634.5	0	0	3	0	1	3
ENSG00000168646.14	190	170	132	33	38	80
ENSG00000168653.11	1590	2682	2481	1566	1582	1023
ENSG00000168658.19	1	1	0	4	1	0
ENSG00000168661.15	114	137	100	284	248	282
ENSG00000168671.10	44	33	48	13	17	15
ENSG00000168672.4	8262	8400	7829	14957	14600	19076
ENSG00000168675.19	1536	1437	1422	726	713	1008
ENSG00000168676.11	0	0	0	1	0	0
ENSG00000168679.18	17	35	36	71	69	60
ENSG00000168685.15	0	0	0	0	0	0
ENSG00000168701.19	517	564	528	605	512	628
ENSG00000168702.18	938	684	726	685	613	1081
ENSG00000168703.5	0	0	0	0	0	0
ENSG00000168710.18	2198	1561	1529	1341	1160	2808
ENSG00000168724.18	1470	1623	1441	2273	2119	2297
ENSG00000168734.14	48	66	74	102	133	151
ENSG00000168743.13	3119	3075	2860	2034	1858	2610
ENSG00000168746.8	0	0	0	0	0	0
ENSG00000168748.14	0	0	0	0	0	0
ENSG00000168754.15	1	6	3	7	8	8
ENSG00000168757.13	0	0	0	0	0	0
ENSG00000168758.11	1700	2454	2384	2567	2566	1741
ENSG00000168763.16	1678	2046	1849	2303	2159	2033
ENSG00000168765.19	277	320	337	178	159	233
ENSG00000168769.14	6798	5123	5056	3465	2975	5954
ENSG00000168772.12	255	263	220	154	112	192
ENSG00000168778.13	231	144	147	89	81	288
ENSG00000168779.21	68	64	60	77	82	80
ENSG00000168781.23	398	345	347	293	259	467
ENSG00000168785.8	61	36	44	28	35	66
ENSG00000168792.5	703	966	793	937	888	843
ENSG00000168795.5	581	400	341	461	438	1071
ENSG00000168802.14	141	290	305	608	547	368
ENSG00000168803.16	349	287	258	340	301	524
ENSG00000168806.8	611	646	600	1300	1271	1387
ENSG00000168807.17	3900	3862	3592	3292	2969	4067
ENSG00000168811.8	12	7	8	2	5	11
ENSG00000168813.17	2009	1573	1511	1302	1213	2454
ENSG00000168818.10	385	484	512	643	656	518
ENSG00000168824.15	1	0	1	0	0	0
ENSG00000168826.16	95	138	121	203	225	215
ENSG00000168827.15	1758	2470	2045	3421	3010	2943
ENSG00000168828.6	0	0	0	0	0	0
ENSG00000168830.8	0	4	3	0	5	0
ENSG00000168843.14	19	15	22	9	6	23
ENSG00000168852.14	0	0	0	0	0	0
ENSG00000168872.17	356	338	273	228	185	373
ENSG00000168874.13	17	37	35	66	86	67
ENSG00000168875.3	0	0	0	0	0	0
ENSG00000168876.9	522	659	624	917	839	768
ENSG00000168878.19	0	0	0	0	0	1
ENSG00000168883.20	1906	1524	1497	1218	1103	1967
ENSG00000168884.15	366	605	578	1023	909	707
ENSG00000168887.11	1432	1758	1700	2123	1972	1830
ENSG00000168890.14	214	291	282	558	504	450
ENSG00000168894.10	1400	2600	2503	2803	2811	1697
ENSG00000168899.5	28	29	47	79	97	65
ENSG00000168903.9	0	1	0	0	0	0
ENSG00000168904.15	519	547	511	612	531	680
ENSG00000168906.13	4281	2283	2248	3756	3336	13781
ENSG00000168907.13	83	126	119	70	66	51
ENSG00000168913.7	20	36	32	9	21	6
ENSG00000168916.16	11	5	10	7	8	11
ENSG00000168917.9	7	0	2	2	0	0
ENSG00000168918.14	11	2	4	10	18	10
ENSG00000168924.15	1989	2241	1718	2672	2547	2931
ENSG00000168925.12	0	1	0	0	0	0
ENSG00000168928.13	0	1	0	0	0	0
ENSG00000168930.13	0	0	0	0	0	0
ENSG00000168936.11	1056	1329	1318	2598	2361	1840
ENSG00000168938.6	785	855	810	721	701	675
ENSG00000168939.13	5	7	5	10	16	8
ENSG00000168944.17	921	685	583	759	708	1368
ENSG00000168952.16	0	4	4	9	11	5
ENSG00000168955.4	0	0	0	0	0	0
ENSG00000168958.20	1145	1179	1197	1258	1094	1126
ENSG00000168959.15	0	0	0	0	0	0
ENSG00000168961.17	3	1	0	1	2	0
ENSG00000168967.15	0	0	0	0	0	0
ENSG00000168970.22	121	141	147	97	64	86
ENSG00000168992.4	8	1	0	1	0	0
ENSG00000168993.15	30	55	41	18	21	13
ENSG00000168994.14	32	36	35	25	32	15
ENSG00000168995.13	0	0	0	0	0	0
ENSG00000169006.7	0	1	0	4	3	0
ENSG00000169016.17	2093	1801	1652	1846	1722	2442
ENSG00000169018.6	7626	8850	8378	24709	23363	25436
ENSG00000169019.11	388	486	410	333	311	295
ENSG00000169020.10	989	1736	1673	1812	1964	1297
ENSG00000169021.6	2814	3166	2864	5060	4640	4399
ENSG00000169026.13	4	3	1	2	9	3
ENSG00000169031.21	51	39	41	11	13	13
ENSG00000169032.11	1468	1022	1031	483	456	972
ENSG00000169035.12	0	0	0	0	0	0
ENSG00000169040.15	0	0	0	0	0	0
ENSG00000169045.17	6958	2094	2260	1352	913	5849
ENSG00000169047.6	7688	6700	6648	8222	7639	10998
ENSG00000169057.25	3220	2472	2340	2208	2039	4782
ENSG00000169059.13	0	0	0	1	2	1
ENSG00000169062.15	537	452	402	570	447	701
ENSG00000169064.13	1	3	1	2	1	8
ENSG00000169067.4	0	0	0	0	0	1
ENSG00000169071.15	7	8	5	0	3	5
ENSG00000169075.7	0	0	0	0	0	0
ENSG00000169083.18	7289	7002	6615	2550	2348	3921
ENSG00000169084.15	0	0	0	0	0	0
ENSG00000169084.15_PAR_Y	0	0	0	0	0	0
ENSG00000169085.14	4	1	0	0	0	0
ENSG00000169087.11	148	137	134	112	129	134
ENSG00000169093.16	0	0	0	0	0	0
ENSG00000169093.16_PAR_Y	0	0	0	0	0	0
ENSG00000169100.14	0	0	0	0	0	0
ENSG00000169100.14_PAR_Y	0	0	0	0	0	0
ENSG00000169105.8	508	508	463	627	606	812
ENSG00000169116.11	127	89	69	36	38	95
ENSG00000169118.18	1917	1107	1061	1257	1236	3944
ENSG00000169122.12	94	118	91	91	105	114
ENSG00000169126.16	7	3	5	6	0	1
ENSG00000169129.16	109	127	135	33	37	33
ENSG00000169131.13	710	677	616	1155	1080	1192
ENSG00000169136.13	678	1393	1267	1220	1214	617
ENSG00000169139.12	1214	1288	1112	831	848	1074
ENSG00000169154.7	0	0	0	0	0	0
ENSG00000169155.10	793	473	397	550	518	1760
ENSG00000169164.8	0	0	0	0	0	0
ENSG00000169169.15	28	50	38	34	34	30
ENSG00000169174.11	2	2	8	3	2	1
ENSG00000169180.12	6112	7023	6221	11010	10730	11457
ENSG00000169181.13	7	6	12	7	7	2
ENSG00000169184.7	9	5	5	3	2	19
ENSG00000169188.5	760	1002	800	2179	1946	1661
ENSG00000169189.17	418	270	274	205	183	445
ENSG00000169193.12	177	248	236	430	347	365
ENSG00000169194.10	0	1	0	2	1	1
ENSG00000169203.17	28	28	32	9	7	38
ENSG00000169208.3	0	0	0	0	0	0
ENSG00000169213.7	148	191	189	42	49	52
ENSG00000169214.5	0	0	0	0	0	0
ENSG00000169217.9	1461	2663	2371	3575	3626	1862
ENSG00000169218.14	0	0	0	0	1	0
ENSG00000169220.18	43	80	80	86	95	83
ENSG00000169221.14	2557	3553	3164	7042	7009	5550
ENSG00000169223.16	3314	5200	4752	5860	5361	3773
ENSG00000169224.13	0	0	0	0	0	0
ENSG00000169228.14	130	65	83	108	111	160
ENSG00000169230.10	3948	5460	4913	4366	4457	3510
ENSG00000169231.13	261	162	170	117	108	208
ENSG00000169239.13	272	215	210	375	373	567
ENSG00000169241.19	1719	2357	2039	1863	1817	1527
ENSG00000169242.12	1195	1809	1616	5312	5392	4592
ENSG00000169245.6	2	0	3	0	2	2
ENSG00000169246.17	111	28	34	26	27	129
ENSG00000169247.14	67	80	67	88	52	105
ENSG00000169248.13	0	1	0	4	0	1
ENSG00000169249.14	124	157	147	237	181	194
ENSG00000169251.13	36978	42734	39808	33882	31532	30559
ENSG00000169252.6	1	1	0	0	2	0
ENSG00000169253.3	1	0	0	0	0	0
ENSG00000169255.15	5191	6328	5896	6821	6234	6724
ENSG00000169258.7	751	956	866	625	714	652
ENSG00000169260.11	0	0	0	0	0	0
ENSG00000169271.3	0	0	0	0	0	0
ENSG00000169282.18	0	4	3	39	55	33
ENSG00000169288.18	498	559	531	812	757	853
ENSG00000169291.10	2	1	1	0	3	0
ENSG00000169297.8	0	0	0	0	0	0
ENSG00000169299.14	1783	2148	1960	1978	1716	1745
ENSG00000169302.16	1	2	1	7	5	3
ENSG00000169306.10	0	0	0	0	0	0
ENSG00000169313.10	0	0	0	0	0	0
ENSG00000169314.15	0	0	0	0	0	0
ENSG00000169325.10	0	0	0	0	0	0
ENSG00000169327.5	0	0	0	0	0	0
ENSG00000169330.9	23	23	29	10	14	36
ENSG00000169340.10	0	0	0	0	0	0
ENSG00000169344.16	0	0	0	0	0	0
ENSG00000169347.17	19	33	28	22	18	14
ENSG00000169359.16	837	976	872	992	830	1114
ENSG00000169371.14	145	166	188	165	172	159
ENSG00000169372.13	217	317	321	632	642	393
ENSG00000169375.17	5330	4153	4095	4695	4328	7935
ENSG00000169379.17	431	428	421	320	282	451
ENSG00000169385.3	0	0	0	0	0	0
ENSG00000169393.10	0	0	0	0	0	0
ENSG00000169397.4	0	0	0	0	0	0
ENSG00000169398.20	3739	3716	3587	3503	3184	4019
ENSG00000169402.16	5	3	2	2	2	6
ENSG00000169403.12	55	57	55	91	123	99
ENSG00000169410.11	1460	1579	1477	1429	1324	1580
ENSG00000169413.3	0	0	0	0	0	0
ENSG00000169418.10	8	7	3	1	7	3
ENSG00000169427.8	3	0	0	2	0	3
ENSG00000169429.12	0	1	0	0	0	0
ENSG00000169432.19	1	2	0	0	2	1
ENSG00000169435.14	0	0	0	0	0	0
ENSG00000169436.17	0	0	0	0	0	0
ENSG00000169439.12	459	596	539	335	346	264
ENSG00000169442.9	0	0	0	0	0	0
ENSG00000169446.6	2363	2310	2264	2952	2700	3273
ENSG00000169469.9	0	0	0	0	0	0
ENSG00000169474.5	0	0	0	0	0	0
ENSG00000169484.4	0	0	0	0	0	0
ENSG00000169488.7	0	0	0	0	0	0
ENSG00000169490.17	456	463	393	395	425	825
ENSG00000169495.5	3	7	4	3	0	3
ENSG00000169499.15	902	969	910	688	623	635
ENSG00000169504.15	4370	4942	4590	10879	10162	11576
ENSG00000169507.10	0	1	1	0	0	1
ENSG00000169508.7	0	0	1	0	1	0
ENSG00000169509.6	0	0	0	0	0	0
ENSG00000169515.9	1	0	0	0	0	0
ENSG00000169519.21	472	450	393	450	404	591
ENSG00000169548.3	0	2	0	0	0	1
ENSG00000169550.14	0	0	0	0	0	0
ENSG00000169551.13	0	1	1	0	0	0
ENSG00000169554.23	0	0	0	0	0	0
ENSG00000169562.13	0	0	0	0	1	0
ENSG00000169564.7	3525	3178	2987	5092	4820	6311
ENSG00000169567.13	4200	5285	4959	4064	3852	3551
ENSG00000169570.10	1022	822	744	560	571	896
ENSG00000169575.5	0	0	0	0	0	0
ENSG00000169583.13	1518	2263	1991	1863	1823	1119
ENSG00000169592.15	882	1579	1439	1932	1928	1174
ENSG00000169594.14	13	5	11	26	22	24
ENSG00000169598.17	168	195	164	158	143	152
ENSG00000169599.13	471	669	616	410	370	288
ENSG00000169604.21	566	393	389	204	195	407
ENSG00000169605.7	0	0	0	0	2	0
ENSG00000169607.13	786	571	606	802	691	1827
ENSG00000169609.14	687	632	622	826	719	947
ENSG00000169612.4	521	976	846	1587	1600	1018
ENSG00000169618.7	0	0	0	1	0	0
ENSG00000169621.11	5	6	11	6	8	10
ENSG00000169627.9	0	0	0	0	0	0
ENSG00000169629.12	141	175	159	185	162	194
ENSG00000169635.10	211	303	270	430	441	364
ENSG00000169641.14	691	777	728	873	835	1178
ENSG00000169660.17	513	462	419	282	259	236
ENSG00000169662.8	0	0	0	0	0	0
ENSG00000169668.14	0	0	0	0	0	0
ENSG00000169676.6	0	0	0	0	0	0
ENSG00000169679.15	3071	3694	3245	2356	1991	2379
ENSG00000169682.18	241	373	302	297	299	195
ENSG00000169683.8	955	1393	1213	608	611	453
ENSG00000169684.13	1261	1314	1229	769	699	781
ENSG00000169688.11	0	0	0	0	0	0
ENSG00000169689.15	2037	2805	2283	2421	2317	1945
ENSG00000169692.13	1103	1219	1044	902	885	982
ENSG00000169696.16	646	664	632	948	819	913
ENSG00000169704.5	0	0	0	0	0	0
ENSG00000169710.9	36585	40766	34594	14496	13526	17075
ENSG00000169714.17	8256	8702	7915	9049	8408	9427
ENSG00000169715.15	0	0	0	0	0	0
ENSG00000169717.7	0	0	0	0	0	0
ENSG00000169718.18	1928	2282	2053	3051	2767	2403
ENSG00000169727.13	2515	3216	2767	2924	2691	2029
ENSG00000169733.12	716	767	733	985	827	749
ENSG00000169738.8	1887	1915	1659	1240	1074	1271
ENSG00000169740.14	709	1147	1094	1556	1419	1014
ENSG00000169744.13	0	0	0	0	0	0
ENSG00000169750.9	374	556	449	264	286	155
ENSG00000169752.17	2	3	4	0	4	2
ENSG00000169756.17	1523	696	596	409	351	1409
ENSG00000169758.13	7	13	10	3	3	3
ENSG00000169760.18	0	0	0	0	0	1
ENSG00000169762.17	490	225	253	263	229	1169
ENSG00000169763.16	0	0	0	0	0	0
ENSG00000169764.16	2169	1076	990	706	631	2203
ENSG00000169777.7	0	0	0	0	0	1
ENSG00000169783.13	82	61	32	8	23	50
ENSG00000169789.10	0	0	0	0	0	0
ENSG00000169800.14	0	0	0	0	0	0
ENSG00000169807.10	0	0	0	0	0	0
ENSG00000169811.8	0	0	0	0	0	0
ENSG00000169813.17	5722	3601	3216	3043	2883	8476
